name,type,start_time,duration,"error","data","ack","address","read"
"I2C","data",405.233071937,0.0000865,,0x54,false,,
"I2C","stop",405.23322225,0.000000063,,,,,
"I2C","start",405.2332445,0.000000062,,,,,
"I2C","address",405.233254687,0.0000865,,,true,0x0B,false
"I2C","data",405.233346438,0.000210375,,0x00,true,,
"I2C","data",405.233562063,0.000131625,,0x53,true,,
"I2C","data",405.233698937,0.0001335,,0x00,true,,
"I2C","data",405.233837687,0.000133625,,0x20,true,,
"I2C","stop",405.23398175,0.000000063,,,,,
"I2C","start",405.23398975,0.000000063,,,,,
"I2C","address",405.233999938,0.0000865,,,true,0x0B,false
"I2C","data",405.234091625,0.00119325,,0x23,true,,
"I2C","start",405.235295062,0.000000063,,,,,
"I2C","address",405.23530525,0.0000865,,,true,0x0B,true
"I2C","data",405.235450313,0.000086437,,0x04,true,,
"I2C","data",405.235595312,0.0000865,,0x00,true,,
"I2C","data",405.235741375,0.000086438,,0x00,true,,
"I2C","data",405.235887375,0.0000865,,0x00,true,,
"I2C","data",405.236033375,0.0000865,,0x00,true,,
"I2C","data",405.236175625,0.0000865,,0x54,false,,
"I2C","stop",405.236326875,0.000000063,,,,,
"I2C","start",405.236345,0.000000063,,,,,
"I2C","address",405.23635525,0.000086438,,,true,0x0B,false
"I2C","data",405.236446937,0.00021475,,0x00,true,,
"I2C","data",405.236666937,0.00017275,,0x54,true,,
"I2C","data",405.236844937,0.0001365,,0x00,true,,
"I2C","data",405.236986688,0.000135562,,0x4B,true,,
"I2C","stop",405.237132625,0.000000062,,,,,
"I2C","start",405.2378785,0.000000062,,,,,
"I2C","address",405.23788875,0.0000865,,,true,0x0B,false
"I2C","data",405.237980438,0.000672125,,0x23,true,,
"I2C","start",405.23866275,0.000000063,,,,,
"I2C","address",405.238673,0.000086437,,,true,0x0B,true
"I2C","data",405.238819875,0.0000865,,0x04,true,,
"I2C","data",405.238967312,0.000086437,,0x86,true,,
"I2C","data",405.239114687,0.0000865,,0x03,true,,
"I2C","data",405.239263125,0.0000865,,0x06,true,,
"I2C","data",405.239411062,0.0000865,,0x00,true,,
"I2C","data",405.23955525,0.0000865,,0xD2,false,,
"I2C","stop",405.239708875,0.000000062,,,,,
"I2C","start",405.240071563,0.000000062,,,,,
"I2C","address",405.24008175,0.0000865,,,true,0x0B,false
"I2C","data",405.240173438,0.000171875,,0x00,true,,
"I2C","data",405.2403505,0.000134125,,0x55,true,,
"I2C","data",405.240489813,0.0001365,,0x00,true,,
"I2C","data",405.2406315,0.0001375,,0x5E,true,,
"I2C","stop",405.240779438,0.000000062,,,,,
"I2C","start",405.240788875,0.000000062,,,,,
"I2C","address",405.240799125,0.000086437,,,true,0x0B,false
"I2C","data",405.240890813,0.00115725,,0x23,true,,
"I2C","start",405.24205825,0.000000062,,,,,
"I2C","address",405.242068437,0.0000865,,,true,0x0B,true
"I2C","data",405.242216312,0.000086438,,0x02,true,,
"I2C","data",405.242363313,0.000086437,,0x10,true,,
"I2C","data",405.242511687,0.0000865,,0x08,true,,
"I2C","data",405.242656813,0.0000865,,0x16,true,,
"I2C","data",405.24280575,0.0000865,,0x16,true,,
"I2C","data",405.242950375,0.0000865,,0x16,false,,
"I2C","stop",405.243095438,0.000000062,,,,,
"I2C","start",405.243110937,0.000000063,,,,,
"I2C","address",405.243121187,0.000086438,,,true,0x0B,false
"I2C","data",405.243212875,0.000184,,0x09,true,,
"I2C","start",405.243407063,0.000000062,,,,,
"I2C","address",405.243417313,0.000086437,,,true,0x0B,true
"I2C","data",405.24357525,0.000086437,,0x8B,true,,
"I2C","data",405.243772813,0.0000865,,0x31,true,,
"I2C","data",405.2439175,0.000086438,,0xDD,false,,
"I2C","stop",405.244071125,0.000000063,,,,,
"I2C","start",405.24408175,0.000000062,,,,,
"I2C","address",405.244091938,0.0000865,,,true,0x0B,false
"I2C","data",405.244183688,0.000185562,,0x0A,true,,
"I2C","start",405.244379438,0.000000062,,,,,
"I2C","address",405.244389688,0.0000865,,,true,0x0B,true
"I2C","data",405.244541375,0.0000865,,0xD3,true,,
"I2C","data",405.24470125,0.0000865,,0xFD,true,,
"I2C","data",405.244845437,0.0000865,,0x29,false,,
"I2C","stop",405.244998562,0.000000063,,,,,
"I2C","start",405.245119438,0.000000062,,,,,
"I2C","address",405.245129688,0.000086438,,,true,0x0B,false
"I2C","data",405.245221375,0.000174562,,0x10,true,,
"I2C","start",405.245406125,0.000000063,,,,,
"I2C","address",405.245416375,0.0000865,,,true,0x0B,true
"I2C","data",405.245562313,0.0000865,,0xE4,true,,
"I2C","data",405.245707812,0.0000865,,0x04,true,,
"I2C","data",405.245852375,0.0000865,,0xA1,false,,
"I2C","stop",405.246016437,0.000000063,,,,,
"I2C","start",405.246025375,0.000000063,,,,,
"I2C","address",405.246035625,0.0000865,,,true,0x0B,false
"I2C","data",405.246127312,0.000188,,0x0F,true,,
"I2C","start",405.2463255,0.000000062,,,,,
"I2C","address",405.24633575,0.000086437,,,true,0x0B,true
"I2C","data",405.246485063,0.000086437,,0xA7,true,,
"I2C","data",405.246630625,0.0000865,,0x04,true,,
"I2C","data",405.246775688,0.0000865,,0x70,false,,
"I2C","stop",405.246929375,0.000000063,,,,,
"I2C","start",405.247664312,0.000000063,,,,,
"I2C","address",405.247674562,0.000086438,,,true,0x0B,false
"I2C","data",405.24776625,0.000194875,,0x08,true,,
"I2C","start",405.247971312,0.000000063,,,,,
"I2C","address",405.247981563,0.000086437,,,true,0x0B,true
"I2C","data",405.248128937,0.0000865,,0xB6,true,,
"I2C","data",405.2482755,0.0000865,,0x0B,true,,
"I2C","data",405.248420062,0.0000865,,0x7D,false,,
"I2C","stop",405.248573625,0.000000063,,,,,
"I2C","start",405.250157125,0.000000063,,,,,
"I2C","address",405.250167313,0.0000865,,,true,0x0B,false
"I2C","data",405.250259,0.000170375,,0x0D,true,,
"I2C","start",405.250439562,0.000000063,,,,,
"I2C","address",405.25044975,0.0000865,,,true,0x0B,true
"I2C","data",405.250602875,0.0000865,,0x60,true,,
"I2C","data",405.250750812,0.0000865,,0x00,true,,
"I2C","data",405.250895437,0.000086438,,0xC6,false,,
"I2C","stop",405.251049,0.000000063,,,,,
"I2C","start",405.251059688,0.000000063,,,,,
"I2C","address",405.251069938,0.0000865,,,true,0x0B,false
"I2C","data",405.251161625,0.000279938,,0x51,true,,
"I2C","start",405.25145175,0.000000063,,,,,
"I2C","address",405.251462,0.0000865,,,true,0x0B,true
"I2C","data",405.251609813,0.0000865,,0x04,true,,
"I2C","data",405.25175675,0.0000865,,0x00,true,,
"I2C","data",405.251904187,0.0000865,,0x00,true,,
"I2C","data",405.252052687,0.0000865,,0x00,true,,
"I2C","data",405.252200625,0.0000865,,0x00,true,,
"I2C","data",405.25234525,0.0000865,,0xDA,false,,
"I2C","stop",405.252498875,0.000000063,,,,,
"I2C","start",405.252715313,0.000000062,,,,,
"I2C","address",405.252725563,0.0000865,,,true,0x0B,false
"I2C","data",405.25281725,0.000179187,,0xD2,true,,
"I2C","start",405.253006625,0.000000062,,,,,
"I2C","address",405.253016875,0.0000865,,,true,0x0B,true
"I2C","data",405.253162375,0.0000865,,0x00,true,,
"I2C","data",405.253307937,0.0000865,,0x00,true,,
"I2C","data",405.253452125,0.0000865,,0x2C,false,,
"I2C","stop",405.253605312,0.000000063,,,,,
"I2C","start",405.253618,0.000000062,,,,,
"I2C","address",405.25362825,0.0000865,,,true,0x0B,false
"I2C","data",405.253719938,0.000209625,,0x3F,true,,
"I2C","start",405.25393975,0.000000063,,,,,
"I2C","address",405.25395,0.000086438,,,true,0x0B,true
"I2C","data",405.254096312,0.0000865,,0x81,true,,
"I2C","data",405.2542485,0.0000865,,0x10,true,,
"I2C","data",405.25439875,0.0000865,,0x65,false,,
"I2C","stop",405.254558125,0.000000062,,,,,
"I2C","start",405.25505225,0.000000063,,,,,
"I2C","address",405.2550625,0.0000865,,,true,0x0B,false
"I2C","data",405.255154188,0.000162063,,0x3E,true,,
"I2C","start",405.255326438,0.000000063,,,,,
"I2C","address",405.255336625,0.0000865,,,true,0x0B,true
"I2C","data",405.255483,0.000086438,,0x86,true,,
"I2C","data",405.255629875,0.0000865,,0x10,true,,
"I2C","data",405.255774375,0.0000865,,0x18,false,,
"I2C","stop",405.255928438,0.000000062,,,,,
"I2C","start",405.255938875,0.000000062,,,,,
"I2C","address",405.255949125,0.0000865,,,true,0x0B,false
"I2C","data",405.256040812,0.000208125,,0x3D,true,,
"I2C","start",405.256259188,0.000000063,,,,,
"I2C","address",405.256269375,0.0000865,,,true,0x0B,true
"I2C","data",405.256416312,0.0000865,,0x84,true,,
"I2C","data",405.256561438,0.000086438,,0x10,true,,
"I2C","data",405.2567055,0.000086438,,0x08,false,,
"I2C","stop",405.256859,0.000000063,,,,,
"I2C","start",405.25687125,0.000000062,,,,,
"I2C","address",405.256881437,0.0000865,,,true,0x0B,false
"I2C","data",405.256973125,0.000206187,,0x3F,true,,
"I2C","start",405.2571895,0.000000063,,,,,
"I2C","address",405.257199688,0.0000865,,,true,0x0B,true
"I2C","data",405.257346187,0.0000865,,0x81,true,,
"I2C","data",405.25749225,0.0000865,,0x10,true,,
"I2C","data",405.257636875,0.0000865,,0x65,false,,
"I2C","stop",405.2577905,0.000000063,,,,,
"I2C","start",405.25781575,0.000000062,,,,,
"I2C","address",405.257826,0.000086438,,,true,0x0B,false
"I2C","data",405.257917688,0.00019325,,0x3E,true,,
"I2C","start",405.258121125,0.000000063,,,,,
"I2C","address",405.258131375,0.000086438,,,true,0x0B,true
"I2C","data",405.258277625,0.0000865,,0x86,true,,
"I2C","data",405.258424063,0.000086437,,0x10,true,,
"I2C","data",405.258568125,0.000086438,,0x18,false,,
"I2C","stop",405.25872125,0.000000062,,,,,
"I2C","start",405.258744562,0.000000063,,,,,
"I2C","address",405.258754813,0.0000865,,,true,0x0B,false
"I2C","data",405.2588465,0.00019525,,0x3D,true,,
"I2C","start",405.259051937,0.000000063,,,,,
"I2C","address",405.259062125,0.0000865,,,true,0x0B,true
"I2C","data",405.259208063,0.0000865,,0x84,true,,
"I2C","data",405.259354062,0.0000865,,0x10,true,,
"I2C","data",405.259499125,0.0000865,,0x08,false,,
"I2C","stop",405.25965325,0.000000063,,,,,
"I2C","start",405.260321875,0.000000063,,,,,
"I2C","address",405.260332063,0.0000865,,,true,0x0B,false
"I2C","data",405.260423812,0.000182875,,0xD6,true,,
"I2C","start",405.260616875,0.000000063,,,,,
"I2C","address",405.260627125,0.0000865,,,true,0x0B,true
"I2C","data",405.260774062,0.0000865,,0x55,true,,
"I2C","data",405.260919688,0.0000865,,0xAA,true,,
"I2C","data",405.261064313,0.0000865,,0x66,false,,
"I2C","stop",405.2612175,0.000000063,,,,,
"I2C","start",405.26123975,0.000000062,,,,,
"I2C","address",405.261249937,0.0000865,,,true,0x0B,false
"I2C","data",405.261341625,0.000221313,,0xD9,true,,
"I2C","start",405.261573125,0.000000063,,,,,
"I2C","address",405.261583375,0.0000865,,,true,0x0B,true
"I2C","data",405.26173225,0.0000865,,0x04,true,,
"I2C","data",405.26188025,0.0000865,,0xE2,true,,
"I2C","data",405.262029187,0.0000865,,0x17,true,,
"I2C","data",405.262177563,0.0000865,,0x83,true,,
"I2C","data",405.262325438,0.0000865,,0xD6,true,,
